studyName,Sample Number,Species,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
PAL0708,11,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N9A2,Yes,11/15/07,47.6,21.2,191.0,3850.0,FEMALE,,,
PAL0809,66,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N54A1,Yes,11/3/08,47.7,15.0,216.0,4750.0,MALE,8.26548,-26.7699,
PAL0809,82,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N6A1,Yes,11/9/07,37.8,17.3,185.0,3700.0,MALE,,,
PAL0809,62,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N6A1,Yes,11/4/08,45.2,13.7,210.0,4300.0,MALE,8.37615,-26.72791,
PAL0809,53,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,Yes,11/9/08,50.8,14.8,216.0,5200.0,MALE,8.58487,-26.5928,
PAL0809,65,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,No,11/9/08,42.8,14.2,219.0,4700.0,MALE,8.61436,-26.55602,
PAL0708,3,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,11/9/08,47.7,16.4,223.0,5950.0,MALE,8.19749,-26.65931,
PAL0809,83,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N47A1,Yes,11/9/07,36.6,18.4,184.0,3475.0,FEMALE,,,
PAL0809,59,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N3A2,No,11/18/07,44.5,13.2,211.0,4550.0,FEMALE,7.993,-25.5139,
PAL0809,35,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N16A1,Yes,11/3/08,44.4,17.3,219.0,5250.0,MALE,8.13746,-26.79093,
PAL0809,78,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N34A2,Yes,11/27/07,46.1,13.2,211.0,4500.0,FEMALE,7.993,-25.5139,
PAL0809,69,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N40A2,Yes,11/27/07,45.1,14.5,215.0,5000.0,MALE,7.6322,-25.46569,
PAL0708,11,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,11/13/08,47.2,15.5,215.0,4975.0,MALE,8.47978,-26.9547,
PAL0809,78,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,11/9/08,46.2,13.5,213.0,4400.0,MALE,8.47887,-26.61788,
PAL0708,14,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N33A1,Yes,11/18/07,47.6,14.5,215.0,5400.0,MALE,8.2345,-25.54456,
PAL0809,62,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,11/29/07,45.1,14.5,215.0,5000.0,MALE,7.6322,-25.46569,
PAL0708,12,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,11/6/08,48.2,16.3,220.0,5400.0,MALE,8.03659,-26.86127,
PAL0809,58,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N32A1,Yes,11/25/09,49.4,15.0,216.0,4925.0,MALE,8.29671,-26.08547,
PAL0809,42,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N67A2,Yes,11/21/07,50.0,15.0,225.0,5500.0,MALE,8.83063,-25.01544,
PAL0809,73,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N48A2,Yes,11/27/07,49.0,16.1,216.0,5550.0,MALE,8.10417,-25.50562,
PAL0708,32,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,11/9/09,39.7,20.2,190.0,3900.0,MALE,9.01832,-26.38085,
PAL0708,15,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N5A1,Yes,11/9/08,47.6,15.0,216.0,4750.0,FEMALE,8.54558,-26.18967,
PAL0910,92,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,11/13/08,43.8,13.9,208.0,4300.0,MALE,8.58319,-26.84415,
PAL0708,15,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N16A1,Yes,11/3/08,45.7,13.9,214.0,4400.0,FEMALE,8.27141,-26.7765,
PAL0809,50,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N7A1,Yes,11/4/08,45.3,13.7,210.0,4300.0,MALE,8.37615,-26.72791,
PAL0708,16,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,11/3/08,47.2,13.7,213.0,4925.0,MALE,7.96935,-26.70968,
PAL0708,2,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N25A1,Yes,11/2/08,49.6,16.0,225.0,5700.0,MALE,8.38324,-26.84272,
PAL0708,18,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,11/9/08,45.2,14.8,217.0,5200.0,MALE,8.58487,-26.5929,
PAL0809,70,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,11/6/08,48.5,14.2,220.0,5500.0,MALE,8.39867,-26.79358,
PAL0809,64,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,11/4/08,55.1,15.9,225.0,5400.0,MALE,8.49765,-26.83006,
PAL0809,46,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,11/9/08,46.8,15.1,215.0,5500.0,FEMALE,7.96491,-26.5387,
PAL0708,24,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,11/27/09,48.2,15.6,221.0,5100.0,MALE,8.28601,-26.27573,
PAL0809,67,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,No,11/12/07,35.9,17.8,181.0,3625.0,MALE,9.18718,-25.21799,
PAL0809,56,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,11/16/07,35.1,17.0,195.0,3325.0,MALE,9.17847,-25.23061,
PAL0708,19,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N94A2,Yes,11/21/09,49.1,16.1,216.0,5500.0,FEMALE,9.3639,-24.40753,
PAL0910,86,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,11/9/08,45.3,13.7,213.0,4400.0,MALE,7.96435,-26.5387,
PAL0809,41,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,12/3/07,49.1,13.2,211.0,4500.0,FEMALE,7.993,-25.5139,
PAL0809,71,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N16A2,Yes,11/3/08,49.6,16.0,225.0,5700.0,MALE,8.38324,-26.84272,
PAL0708,29,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N20A1,No,11/18/09,47.2,15.8,216.0,4925.0,MALE,8.03624,-26.06594,
PAL0708,33,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,12/3/07,45.1,14.5,207.0,5050.0,MALE,7.97458,-25.53768,
PAL0910,106,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,11/12/09,47.2,15.5,215.0,4975.0,MALE,8.70789,-26.61075,
PAL0708,34,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N77A2,Yes,11/13/09,39.2,20.0,190.0,4250.0,MALE,9.51929,-25.69199,
PAL0809,52,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N33A1,Yes,11/18/07,47.6,14.5,215.0,5400.0,FEMALE,8.2345,-25.54456,
PAL0708,10,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N42A2,Yes,11/27/07,46.1,13.5,210.0,4500.0,FEMALE,7.63884,-25.52627,
PAL0910,136,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N67A2,Yes,11/25/08,36.2,17.5,187.0,3650.0,MALE,9.61734,-24.66188,
PAL0809,75,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,11/4/08,54.3,15.0,223.0,5550.0,MALE,8.63551,-26.74249,
PAL0708,95,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,Yes,11/3/08,50.1,15.0,225.0,5000.0,MALE,8.50153,-26.61414,
PAL0910,95,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,11/27/07,46.5,15.3,219.0,5200.0,MALE,8.22673,-25.4276,
PAL0708,21,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N46A1,Yes,11/5/08,48.2,15.6,221.0,5100.0,MALE,8.24651,-26.66958,
PAL0809,36,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,11/27/07,49.0,16.1,216.0,5550.0,MALE,8.10417,-25.50562,
PAL0809,62,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N54A2,Yes,11/3/08,39.0,17.5,186.0,3550.0,MALE,8.57199,-26.6765,
PAL0809,76,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N40A2,No,11/7/08,49.1,14.8,220.0,5150.0,FEMALE,7.89744,-26.63405,
PAL0708,6,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,Yes,11/9/08,50.5,15.9,222.0,5550.0,FEMALE,8.46894,-26.60436,
PAL0708,6,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,11/27/07,46.1,14.3,215.0,5500.0,FEMALE,7.8962,-25.37746,
PAL0708,25,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N42A1,Yes,11/8/08,42.8,14.2,220.0,4700.0,MALE,8.60447,-26.63601,
PAL0809,70,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,12/3/07,47.9,13.2,219.0,4875.0,MALE,7.79943,-25.62618,
PAL0910,105,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N32A1,No,11/27/07,50.4,14.3,218.0,5700.0,MALE,7.8962,-25.37746,
PAL0708,15,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N37A2,Yes,11/29/07,46.4,15.0,216.0,4750.0,MALE,7.66018,-25.50811,
PAL0809,63,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N90A2,No,11/21/09,37.0,17.2,199.0,3775.0,MALE,9.43782,-24.36202,
PAL0809,60,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,11/27/07,46.8,14.3,215.0,5000.0,FEMALE,7.8962,-25.37746,
PAL0809,87,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,11/8/08,38.2,19.2,189.0,3950.0,FEMALE,9.07826,-26.12417,
PAL0708,22,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N2A2,Yes,11/16/07,41.1,18.5,192.0,4100.0,FEMALE,8.97025,-25.11609,
PAL0809,87,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N71A1,Yes,11/21/09,38.8,17.6,191.0,3275.0,FEMALE,8.88098,-25.89741,
PAL0809,62,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N67A1,Yes,11/16/09,38.8,17.6,191.0,3275.0,FEMALE,8.88098,-25.89741,
PAL0809,81,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N1A1,Yes,11/18/09,40.2,20.1,200.0,3975.0,MALE,8.95998,-26.32601,
PAL0809,53,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,11/6/08,46.1,15.4,220.0,5050.0,FEMALE,8.63488,-26.75621,
PAL0708,25,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N19A2,Yes,11/13/08,47.7,15.0,216.0,4750.0,FEMALE,8.26548,-26.7699,
PAL0910,111,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,11/9/08,44.5,13.7,208.0,3800.0,FEMALE,8.14567,-26.59467,
PAL0809,67,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N41A1,Yes,11/27/07,42.8,13.5,210.0,4150.0,FEMALE,7.63884,-25.52627,
PAL0910,91,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,11/29/07,45.1,14.5,207.0,5050.0,FEMALE,7.97408,-25.53768,
PAL0708,6,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N31A2,Yes,11/27/07,50.0,16.3,230.0,5700.0,FEMALE,8.14756,-25.39369,
PAL0809,62,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N41A2,Yes,11/27/07,44.4,17.3,219.0,5250.0,FEMALE,8.13746,-25.4617,
PAL0708,18,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,Yes,11/9/07,45.5,13.7,210.0,4300.0,FEMALE,8.33515,-25.06137,
PAL0910,109,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N46A2,No,11/6/08,49.4,15.0,216.0,4925.0,FEMALE,8.65914,-26.48973,
PAL0910,145,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N84A1,Yes,11/13/09,36.6,19.2,199.0,3775.0,MALE,9.11016,-25.79549,
PAL0708,12,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,Yes,11/10/07,46.5,14.3,219.0,4900.0,FEMALE,7.96621,-25.69327,
PAL0708,23,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N89A1,Yes,11/18/09,35.2,15.9,186.0,3050.0,MALE,8.81668,-25.95399,
PAL0809,31,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N34A2,Yes,11/27/07,46.2,13.5,210.0,4550.0,FEMALE,7.63884,-25.52627,
PAL0708,28,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N8A1,Yes,11/16/07,39.2,21.1,196.0,4150.0,FEMALE,9.15308,-25.03469,
PAL0708,16,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,11/27/09,49.1,15.0,228.0,5500.0,FEMALE,8.65914,-25.79203,
PAL0708,22,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N62A1,Yes,11/26/07,35.2,18.0,182.0,3150.0,MALE,9.68933,-24.4228,
PAL0910,135,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N69A1,Yes,11/26/07,39.7,19.5,190.0,3900.0,FEMALE,8.92069,-24.23592,
PAL0809,81,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N89A1,Yes,11/14/08,36.2,18.6,189.0,3550.0,MALE,8.73997,-24.65859,
PAL0809,82,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N53A2,Yes,11/13/08,42.8,13.7,208.0,3850.0,MALE,8.14567,-26.44787,
PAL0708,5,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N12A1,No,11/12/07,37.8,18.3,174.0,3400.0,FEMALE,8.73762,-25.09383,
PAL0910,133,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N6A2,Yes,11/9/07,38.9,17.8,181.0,3625.0,FEMALE,9.18718,-25.21799,
PAL0910,87,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N19A2,Yes,11/13/08,47.5,15.0,218.0,4750.0,FEMALE,8.63551,-26.74249,
PAL0809,88,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N100A1,Yes,11/21/09,39.5,16.6,191.0,3250.0,MALE,9.62357,-24.78984,
PAL0809,62,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N42A1,Yes,11/27/07,50.0,16.3,230.0,5700.0,FEMALE,8.14756,-25.39369,
PAL0809,62,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N91A1,Yes,11/27/09,38.7,16.5,189.0,3850.0,MALE,9.65061,-24.48153,
PAL0809,35,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N89A2,Yes,11/26/07,50.5,19.6,201.0,4050.0,MALE,9.8059,-24.7294,
PAL0809,83,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N48A1,Yes,11/17/08,32.1,17.3,187.0,3350.0,MALE,8.90723,-26.30037,
PAL0708,6,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N42A2,Yes,11/27/07,35.9,16.6,190.0,3050.0,FEMALE,9.32217,-25.31799,
PAL0910,130,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N4A1,No,11/15/07,42.2,18.5,180.0,3550.0,FEMALE,8.04787,-25.49523,
PAL0708,17,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,11/9/08,41.1,18.6,189.0,3325.0,FEMALE,8.59147,-26.38783,
PAL0708,32,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N96A1,Yes,11/27/09,36.2,19.3,181.0,3800.0,MALE,9.41131,-24.36202,
PAL0708,22,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N98A1,Yes,11/13/09,55.1,17.0,230.0,5550.0,FEMALE,8.27595,-26.11657,
PAL0809,75,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,11/18/09,49.6,15.0,228.0,5500.0,FEMALE,8.65914,-25.79203,
PAL0708,25,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N15A2,Yes,11/4/08,32.1,15.5,188.0,3050.0,FEMALE,8.58567,-26.79388,
PAL0809,79,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N5A2,Yes,11/9/08,45.8,18.9,197.0,4150.0,MALE,8.18658,-26.35978,
